url,recordist,Country,Dpto,locality,date,latitude,longitude,species,scientific_name,iris,sex,lifestage
618549952,Richard Thunen,Colombia,Caldas,Hacienda El Bosque,2024-04-15,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
616358141,Rafael Campos-Ramírez,Ecuador,Zamora-Chinchipe,Reserva Tapichalaca--Sendero Jocotoco,2024-03-22,-4.4906,-79.1318,Barred Fruiteater,Pipreola arcuata,brown,male,adult
616144109,Jens Thalund,Peru,Huánuco,Carpish Tunnel (Valqui D5.1),2011-09-10,-9.7198,-76.0990,Barred Fruiteater,Pipreola arcuata,brown,female,adult
615560725,Katrina Moilanen,Ecuador,Pichincha,Reserva Yanacocha,2024-02-17,-0.1118,-78.5847,Barred Fruiteater,Pipreola arcuata,brown,male,adult
615416353,Christophe Illemassene,Colombia,Caldas,Hacienda El Bosque,2022-08-16,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
615393882,Jildert Hijlkema,Ecuador,Zamora-Chinchipe,Reserva Tapichalaca y Casa Simpson,2023-07-20,-4.4950,-79.1323,Barred Fruiteater,Pipreola arcuata,brown,female,adult
614538279,Laura Wilson,Colombia,Caldas,Hacienda El Bosque,2024-01-28,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
614351962,Stephen Menzie,Ecuador,Napo,Guango Lodge,2024-01-06,-0.3781,-78.0743,Barred Fruiteater,Pipreola arcuata,brown,female,adult
613798827,Joyce Brady,Ecuador,Pichincha,Reserva Yanacocha,2019-11-05,-0.1118,-78.5847,Barred Fruiteater,Pipreola arcuata,brown,male,adult
613388322,Hector Cadena,Ecuador,Azuay,PN Río Negro Sopladora--Acceso por Sevilla de Oro,2023-12-30,-2.8071,-78.6308,Barred Fruiteater,Pipreola arcuata,brown,male,adult
613291720,Manuel y Juanita Franco Angel,Colombia,Caldas,Hacienda El Bosque,2024-01-06,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
611970356,Amelia Preston,Ecuador,Pichincha,Reserva Zuro Loma,2023-11-14,-0.0887,-78.5998,Barred Fruiteater,Pipreola arcuata,brown,male,adult
611146464,Katie Henderson,Colombia,Caldas,Hacienda El Bosque,2023-10-22,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
610383659,Larry Schmahl,Ecuador,Napo,Guango Lodge,2023-09-29,-0.3781,-78.0743,Barred Fruiteater,Pipreola arcuata,brown,male,adult
610003806,Kathrynne & Paul Baumtrog,Ecuador,Zamora-Chinchipe,"IV Eje vial, Chinchipe EC-Zamora Chinchipe -4.49185, -79.13478",2023-10-05,-4.4919,-79.1348,Barred Fruiteater,Pipreola arcuata,brown,male,adult
608102891,Marcelo Quipo,Ecuador,Zamora-Chinchipe,Reserva Tapichalaca y Casa Simpson,2023-08-25,-4.4950,-79.1323,Barred Fruiteater,Pipreola arcuata,brown,male,adult
601595881,John Cassady,Colombia,Cesar,Chamicero del Perijá Proaves Reserve,2023-07-25,10.3627,-72.9492,Barred Fruiteater,Pipreola arcuata,brown,female,adult
588539561,Bruce Kronmiller,Colombia,Caldas,Hacienda El Bosque,2023-06-17,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
579769561,Dan Dotson,Ecuador,Zamora-Chinchipe,Reserva Tapichalaca y Casa Simpson,2022-08-27,-4.4950,-79.1323,Barred Fruiteater,Pipreola arcuata,brown,male,adult
572193271,Milton Galvis,Colombia,Cundinamarca,PNN Chingaza--Entrada Piedras Gordas,2023-05-13,4.7369,-73.8424,Barred Fruiteater,Pipreola arcuata,brown,male,adult
555073281,David Weaver,Ecuador,Pichincha,"Upper Chiriboga Rd. (upper subtropical and temperate zone, >2500m)",2023-04-08,-0.2795,-78.6927,Barred Fruiteater,Pipreola arcuata,brown,male,adult
554323601,Colby Neuman,Colombia,Cesar,"Vía Sabana Rubia, CO (10.362, -72.941)",2023-03-31,10.3622,-72.9407,Barred Fruiteater,Pipreola arcuata,brown,male,adult
551710871,Geert Bouke Kortleve,Colombia,Caldas,Hacienda El Bosque,2023-03-13,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
547222951,Monte Neate-Clegg,Ecuador,Zamora-Chinchipe,Reserva Tapichalaca y Casa Simpson,2023-03-06,-4.4950,-79.1323,Barred Fruiteater,Pipreola arcuata,brown,male,adult
